City,State,Times,Latitude,Longitude,Stadium-name,University,Most recent gameday,Discrepancies
Columbus,Ohio,21,40.00180239,-83.01973843,Ohio Stadium,Ohio State University,3-Sep-22,
Tuscaloosa,Alabama,16,33.2084996,-87.5503836,Bryant-Denny Stadium,University of Alabama,28-Nov-20,
Ann Arbor,Michigan,14,42.26596351,-83.74870633,Michigan Stadium,University of Michigan,27-Nov-21,13
Baton Rouge,Louisiana,13,30.41223854,-91.18365537,Tiger Stadium,Louisiana State University,12-Oct-19,
Gainesville,Florida,12,29.65008114,-82.34867087,Ben Hill Griffin Stadium,University of Florida,5-Oct-19,13
Tallahassee,Florida,11,30.43833808,-84.30435573,Doak S. Campbell Stadium,Florida State University,18-Oct-14,13
Eugene,Oregon,10,44.05834559,-123.0684603,Autzen Stadium,University of Oregon,22-Sep-18,
Los Angeles,California,10,34.01437273,-118.2878647,LA Memorial Coliseum,University of Southern California,23-Oct-21,11
South Bend,Indiana,10,41.69832598,-86.23388382,Notre Dame Stadium,University of Notre Dame,7-Nov-20,
Knoxville,Tennessee,10,35.95520186,-83.92498934,Neyland Stadium,University of Tennessee,24-Sep-22,
